date,open,high,low,close
11/5/1984,0.4441,0.453,0.442,0.442
11/6/1984,0.4688,0.4709,0.4688,0.4688
11/7/1984,0.4688,0.4709,0.4598,0.4598
11/8/1984,0.4598,0.4598,0.442,0.442
11/9/1984,0.442,0.4441,0.4107,0.4152
11/12/1984,0.4307,0.433,0.4307,0.4307
11/13/1984,0.4307,0.4396,0.4196,0.4196
11/14/1984,0.4241,0.4286,0.4241,0.4241
11/15/1984,0.4241,0.4286,0.4241,0.4241
11/16/1984,0.4241,0.4307,0.4129,0.4152
11/19/1984,0.4152,0.4173,0.3905,0.3905
11/20/1984,0.4039,0.4063,0.4039,0.4039
11/21/1984,0.4129,0.4152,0.4129,0.4129
11/23/1984,0.4173,0.4307,0.4173,0.4241
11/26/1984,0.4286,0.4286,0.4286,0.4286
11/27/1984,0.4396,0.4441,0.4396,0.4396
11/28/1984,0.462,0.4732,0.462,0.462
11/29/1984,0.462,0.462,0.453,0.453
11/30/1984,0.453,0.4575,0.4396,0.442
12/3/1984,0.442,0.4441,0.4352,0.4352
12/4/1984,0.4441,0.453,0.4441,0.4441
12/5/1984,0.4664,0.4664,0.4664,0.4664
12/6/1984,0.4888,0.4911,0.4888,0.4888
12/7/1984,0.4888,0.5066,0.4843,0.4866
12/10/1984,0.4866,0.4866,0.4777,0.4777
12/11/1984,0.4777,0.4843,0.4709,0.4709
12/12/1984,0.4709,0.4709,0.4554,0.4554
12/13/1984,0.4598,0.4688,0.4598,0.4598
12/14/1984,0.4598,0.4754,0.4598,0.4709
12/17/1984,0.4821,0.4866,0.4821,0.4821
12/18/1984,0.5111,0.5134,0.5111,0.5111
12/19/1984,0.5111,0.5134,0.4911,0.4911
12/20/1984,0.4911,0.5,0.4888,0.4888
12/21/1984,0.4888,0.4911,0.4777,0.4821
12/24/1984,0.4911,0.4932,0.4911,0.4911
12/26/1984,0.4932,0.4977,0.4932,0.4932
12/27/1984,0.4955,0.4977,0.4955,0.4955
12/28/1984,0.4955,0.5155,0.4932,0.5134
12/31/1984,0.52,0.5223,0.52,0.52
1/2/1985,0.52,0.52,0.4977,0.4977
1/3/1985,0.5066,0.52,0.5066,0.5066
1/4/1985,0.5066,0.5089,0.5,0.5066
1/7/1985,0.5066,0.5089,0.5045,0.5045
1/8/1985,0.5045,0.5089,0.5,0.5
1/9/1985,0.5134,0.52,0.5134,0.5134
1/10/1985,0.5357,0.5379,0.5357,0.5357
1/11/1985,0.5357,0.5402,0.5268,0.5313
1/14/1985,0.5468,0.5513,0.5468,0.5468
1/15/1985,0.5468,0.5557,0.5357,0.5357
1/16/1985,0.5402,0.5491,0.5402,0.5402
1/17/1985,0.5402,0.5491,0.5021,0.5021
1/18/1985,0.5021,0.5223,0.5,0.5111
1/21/1985,0.5223,0.5268,0.5223,0.5223
1/22/1985,0.5379,0.5402,0.5379,0.5379
1/23/1985,0.5379,0.5402,0.5289,0.5289
1/24/1985,0.5289,0.5289,0.5179,0.5179
1/25/1985,0.5179,0.5289,0.5066,0.5289
1/28/1985,0.5402,0.5468,0.5402,0.5402
1/29/1985,0.5402,0.5446,0.5334,0.5334
1/30/1985,0.5334,0.5446,0.5334,0.5334
